,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,10000.0,1.0,2.0,2.0,38.0,2.0,2.0,3.0,3.0,3.0,3.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,140000.0,1.0,2.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,31367.0,29652.0,30178.0,20989.0,17125.0,14739.0,1614.0,10018.0,2009.0,1003.0,1017.0,1012.0,0.0
2,120000.0,1.0,1.0,2.0,29.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,119324.0,119255.0,120584.0,70990.0,0.0,0.0,5025.0,4023.0,3300.0,0.0,0.0,68010.0,0.0
3,170000.0,2.0,1.0,2.0,30.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,1560.0,1280.0,590.0,1168.0,2160.0,145564.0,1000.0,590.0,1168.0,1582.0,145564.0,5069.0,0.0
4,450000.0,2.0,1.0,2.0,31.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,12818.0,17522.0,35727.0,82517.0,91873.0,41628.0,17577.0,35758.0,90018.0,41340.0,20000.0,15000.0,0.0
5,90000.0,2.0,2.0,2.0,31.0,0.0,0.0,0.0,0.0,2.0,2.0,22259.0,23418.0,24443.0,26695.0,25967.0,26946.0,1838.0,1408.0,2660.0,0.0,1400.0,2000.0,1.0
6,290000.0,1.0,1.0,1.0,46.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,2052.0,4146.0,700.0,5055.0,694.0,3207.0,4146.0,700.0,5077.0,694.0,3207.0,0.0,0.0
7,380000.0,2.0,1.0,2.0,27.0,-1.0,0.0,0.0,0.0,0.0,0.0,119628.0,36965.0,32932.0,37368.0,35543.0,36756.0,3250.0,6200.0,5000.0,1543.0,1776.0,1483.0,0.0
8,130000.0,2.0,1.0,2.0,25.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0,2576.0,2356.0,5978.0,2750.0,3641.0,1735.0,0.0,6000.0,2750.0,3641.0,1735.0,7290.0,1.0
9,300000.0,2.0,1.0,2.0,48.0,2.0,0.0,0.0,0.0,0.0,0.0,304040.0,305627.0,305697.0,269017.0,275230.0,260419.0,11500.0,12000.0,10000.0,10500.0,10000.0,10000.0,1.0
10,160000.0,2.0,2.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,112878.0,118601.0,115874.0,111346.0,111553.0,108434.0,8000.0,5014.0,4500.0,11781.0,0.0,4000.0,0.0
11,30000.0,2.0,3.0,2.0,24.0,1.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,1469.0,2432.0,827.0,0.0,0.0,1469.0,1008.0,300.0,0.0,0.0,0.0
12,20000.0,2.0,2.0,2.0,22.0,1.0,2.0,2.0,2.0,2.0,2.0,5613.0,5377.0,6920.0,6911.0,6655.0,7191.0,0.0,1638.0,251.0,0.0,647.0,0.0,1.0
13,160000.0,2.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,96814.0,69870.0,68984.0,55559.0,44705.0,28223.0,10008.0,20014.0,1894.0,6425.0,2204.0,62529.0,0.0
14,80000.0,1.0,1.0,2.0,31.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,780.0,0.0,390.0,390.0,390.0,390.0,0.0,390.0,390.0,390.0,390.0,390.0,0.0
15,360000.0,2.0,2.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,292725.0,296679.0,301181.0,303398.0,289602.0,289457.0,10638.0,11115.0,10700.0,9820.0,9902.0,9910.0,0.0
16,50000.0,2.0,2.0,2.0,23.0,0.0,0.0,0.0,0.0,2.0,2.0,38333.0,40401.0,42897.0,44388.0,46528.0,44986.0,3000.0,3500.0,2500.0,3000.0,0.0,3500.0,0.0
17,20000.0,1.0,2.0,1.0,40.0,1.0,2.0,0.0,0.0,0.0,2.0,8201.0,8912.0,10110.0,10817.0,11637.0,11307.0,1000.0,1500.0,1180.0,1000.0,0.0,1000.0,1.0
18,60000.0,1.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,58072.0,59040.0,57416.0,55736.0,26958.0,28847.0,2282.0,2324.0,2049.0,2000.0,3000.0,1120.0,1.0
19,110000.0,1.0,2.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,93983.0,88777.0,82501.0,54458.0,45943.0,44724.0,3371.0,2636.0,1883.0,1584.0,1604.0,2008.0,0.0
20,300000.0,2.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,297890.0,216495.0,221737.0,224774.0,182544.0,92014.0,7800.0,8705.0,8500.0,6820.0,2700.0,3200.0,0.0
21,280000.0,1.0,3.0,2.0,38.0,-2.0,-1.0,0.0,0.0,0.0,0.0,192080.0,197796.0,314042.0,116480.0,118270.0,124742.0,5716.0,117698.0,3884.0,3376.0,7503.0,3591.0,0.0
22,490000.0,1.0,1.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,497657.0,498379.0,498646.0,436116.0,438700.0,436436.0,18260.0,18529.0,15000.0,15500.0,15620.0,15420.0,0.0
23,500000.0,2.0,1.0,1.0,37.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,17250.0,2287.0,96501.0,12143.0,50143.0,17250.0,3037.0,96501.0,12500.0,38000.0,0.0,0.0
24,200000.0,2.0,1.0,1.0,35.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,2257.0,4261.0,1265.0,2473.0,0.0,0.0,4266.0,1667.0,2473.0,0.0,0.0,0.0,0.0
25,30000.0,2.0,2.0,1.0,45.0,-1.0,-1.0,2.0,2.0,-2.0,-2.0,390.0,780.0,780.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0
26,360000.0,2.0,1.0,2.0,29.0,-1.0,-1.0,-2.0,-2.0,-2.0,-1.0,1498.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0,0.0,0.0,902.0,0.0,0.0
27,170000.0,1.0,1.0,1.0,39.0,2.0,2.0,2.0,2.0,4.0,3.0,74298.0,80073.0,81959.0,89991.0,88018.0,86299.0,7000.0,3800.0,10000.0,0.0,0.0,3100.0,1.0
28,320000.0,1.0,1.0,1.0,40.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,10853.0,33968.0,86024.0,232017.0,15622.0,7463.0,34151.0,86466.0,232242.0,3199.0,7500.0,30.0,0.0
29,300000.0,1.0,2.0,2.0,38.0,1.0,-1.0,3.0,2.0,-1.0,-1.0,0.0,780.0,780.0,390.0,390.0,390.0,1560.0,0.0,0.0,390.0,390.0,540.0,1.0
30,50000.0,2.0,2.0,1.0,34.0,2.0,2.0,2.0,2.0,0.0,0.0,20377.0,19427.0,19590.0,19209.0,19456.0,35976.0,1650.0,800.0,200.0,674.0,636.0,660.0,0.0
31,40000.0,2.0,1.0,2.0,24.0,-1.0,2.0,-1.0,-1.0,0.0,-1.0,780.0,390.0,390.0,780.0,390.0,150.0,0.0,390.0,780.0,0.0,150.0,780.0,1.0
32,180000.0,2.0,2.0,2.0,36.0,1.0,-2.0,-2.0,-2.0,-2.0,-1.0,0.0,0.0,0.0,0.0,0.0,10970.0,0.0,0.0,0.0,0.0,10970.0,0.0,0.0
33,240000.0,2.0,1.0,2.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,99938.0,92104.0,85194.0,83021.0,78556.0,78495.0,3500.0,4200.0,3600.0,3000.0,3000.0,3000.0,0.0
34,100000.0,2.0,2.0,2.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1215.0,1042.0,1042.0,1004.0,1612.0,622.0,1042.0,1042.0,1004.0,1650.0,622.0,622.0,1.0
35,290000.0,2.0,1.0,2.0,24.0,1.0,-2.0,-2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,2700.0,1350.0,1350.0,0.0,0.0,2700.0,0.0,1350.0,8334.0,0.0
36,140000.0,1.0,2.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,127939.0,100372.0,84587.0,65589.0,69117.0,65911.0,5059.0,14659.0,5000.0,8000.0,5000.0,10000.0,0.0
37,200000.0,1.0,1.0,1.0,37.0,1.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,250.0,4188.0,1399.0,1196.0,0.0,250.0,4188.0,0.0,0.0,0.0,0.0
