,0,1,2,3,4,5,6,7,8,9,10,11
0,1.0,6.063681940519859e+18,20603076.0,24370.0,2.0,2.0,10560412.0,4877.0,122973.0,83010.0,4002613.0,1.0
1,1.0,1.236538925354454e+18,21471218.0,37186.0,2.0,2.0,494745.0,349.0,14795.0,3598.0,2586865.0,0.0
2,1.0,1.6545034162276448e+19,20929598.0,35009.0,2.0,1.0,4569304.0,30429.0,93856.0,78476.0,14102.0,0.0
3,1.0,1.4492523977312543e+19,21275627.0,36379.0,2.0,2.0,240259.0,885.0,178.0,257.0,0.0,0.0
4,1.0,6.828193162136375e+17,21345286.0,36690.0,1.0,1.0,77.0,1257.0,852.0,203.0,5336883.0,0.0
5,1.0,2.061296188583326e+18,2046155.0,387.0,2.0,1.0,67.0,158.0,478.0,545.0,2028111.0,1.0
6,2.0,1.205787899908646e+19,20183808.0,27961.0,2.0,2.0,1023525.0,427485.0,1217517.0,1063883.0,0.0,0.0
7,1.0,1.0080430211743812e+19,20710988.0,34122.0,3.0,3.0,1946396.0,2544.0,10853.0,388.0,0.0,0.0
8,1.0,4.1531067261550464e+18,20574305.0,854.0,2.0,1.0,963076.0,446119.0,1653487.0,1333622.0,1166170.0,1.0
9,1.0,1.4340390157469403e+19,9027314.0,23808.0,3.0,1.0,34.0,6.0,70.0,89.0,770515.0,1.0
10,1.0,3.5168895657275873e+18,4386926.0,1267.0,1.0,1.0,5089.0,3052.0,3451.0,3698.0,104208.0,0.0
11,1.0,1.6417480641244623e+19,21156299.0,18711.0,3.0,1.0,7517060.0,22889.0,114728.0,53919.0,435251.0,0.0
12,1.0,7.703279069701543e+18,21299640.0,4983.0,1.0,1.0,14.0,26.0,38.0,51.0,21534876.0,1.0
13,3.0,1.3416878294870458e+19,3066490.0,23786.0,1.0,1.0,916.0,314.0,207.0,115.0,6740.0,0.0
14,1.0,3.2192779986682107e+18,21878987.0,37600.0,3.0,3.0,296662.0,21828.0,116313.0,9364.0,0.0,0.0
15,1.0,1.205787899908646e+19,20222693.0,27961.0,1.0,1.0,23537743.0,9454.0,15373.0,17153.0,284761.0,0.0
16,1.0,9.991057275835721e+17,10866958.0,30428.0,3.0,3.0,195479.0,152527.0,892706.0,714487.0,0.0,0.0
17,1.0,4.660387735928845e+18,21329909.0,36540.0,3.0,1.0,2495518.0,3149.0,12880.0,12723.0,211991.0,1.0
18,1.0,7.010385989455118e+18,9584142.0,23637.0,2.0,1.0,7136.0,4680.0,70893.0,123.0,6545289.0,1.0
19,2.0,1.4756578758696272e+19,20715999.0,3625.0,2.0,1.0,15851.0,39159.0,418664.0,349424.0,0.0,0.0
20,1.0,9.96395034207863e+18,21273765.0,36438.0,2.0,1.0,106235.0,28143.0,213896.0,202581.0,12310642.0,0.0
21,3.0,8.99455707050858e+18,20030165.0,23799.0,1.0,1.0,28.0,231.0,199.0,316.0,1486941.0,0.0
22,1.0,4.006403344526142e+18,21362204.0,36760.0,2.0,2.0,519.0,884.0,79080.0,565.0,13613384.0,0.0
23,2.0,1.7299638493773875e+18,9585571.0,23637.0,2.0,1.0,17.0,32.0,249.0,110.0,6745351.0,0.0
24,1.0,1.205787899908646e+19,20174626.0,27961.0,1.0,1.0,23646781.0,113101.0,595683.0,515466.0,2422666.0,0.0
25,1.0,1.3756257544627677e+19,20175571.0,24354.0,3.0,1.0,53.0,276.0,79.0,199.0,1842780.0,0.0
26,1.0,1.0338480498725892e+19,2495122.0,26408.0,2.0,1.0,10222088.0,23000.0,370260.0,298552.0,176719.0,0.0
27,1.0,1.5989049276530887e+19,20313543.0,23830.0,3.0,1.0,2479520.0,953312.0,2885154.0,222.0,5594565.0,1.0
28,1.0,1.608847813967667e+19,5936099.0,11565.0,3.0,3.0,6857266.0,161768.0,440898.0,394771.0,0.0,0.0
29,1.0,7.903914528320191e+18,21135531.0,1325.0,2.0,1.0,327.0,4699.0,9237.0,15614.0,5043877.0,1.0
30,1.0,1.3382199721756363e+19,3808587.0,7626.0,1.0,1.0,24754988.0,112327.0,135482.0,130038.0,0.0,0.0
31,3.0,6.29238695747836e+18,20394307.0,2533.0,2.0,1.0,165047.0,172065.0,692604.0,16571.0,135862.0,1.0
32,2.0,4.2981186814246446e+18,8209118.0,385.0,3.0,3.0,672748.0,4374.0,3308.0,1420.0,154004.0,0.0
33,1.0,1.203986170175328e+19,21705071.0,37370.0,2.0,1.0,1420267.0,1281.0,14276.0,14014.0,37232.0,0.0
34,1.0,6.015301734198921e+18,20102655.0,10201.0,3.0,3.0,609267.0,378362.0,3844426.0,1775.0,2628150.0,1.0
35,1.0,1.19703195446615e+19,4832825.0,17994.0,3.0,1.0,1549446.0,3106.0,40635.0,37397.0,0.0,0.0
36,1.0,5.851252814446936e+18,20287683.0,28698.0,3.0,3.0,2674538.0,6344.0,107145.0,200416.0,0.0,0.0
37,1.0,5.120683440510468e+18,8676724.0,1268.0,1.0,1.0,88.0,40.0,45.0,13.0,19494036.0,0.0
38,1.0,7.903914528320191e+18,21162526.0,1325.0,1.0,1.0,64.0,10.0,22.0,23.0,5616138.0,1.0
39,4.0,1.4531867648059392e+19,3834142.0,27485.0,2.0,2.0,57.0,8.0,28.0,74.0,916491.0,0.0
40,1.0,1.2960200862333147e+19,10251474.0,8464.0,1.0,1.0,51386.0,11125.0,19276.0,103008.0,5532361.0,1.0
41,14.0,1.205787899908646e+19,20148711.0,27961.0,1.0,1.0,130450.0,15239.0,16482.0,17925.0,0.0,1.0
42,4.0,1.4340390157469403e+19,3111662.0,23777.0,1.0,1.0,382045.0,58007.0,68429.0,61277.0,0.0,1.0
43,7.0,2.670952723278905e+18,20172874.0,23805.0,2.0,2.0,1.0,3.0,35.0,16.0,1459772.0,1.0
44,1.0,1.190425621705067e+18,20137593.0,21767.0,2.0,1.0,5532.0,29597.0,1565.0,47082.0,14776748.0,1.0
45,1.0,4.503498896063573e+17,20974419.0,35356.0,2.0,1.0,898.0,9692.0,21310.0,20669.0,14620873.0,0.0
46,1.0,1.4340390157469403e+19,3530080.0,23777.0,3.0,3.0,8010368.0,1255.0,1982.0,2212.0,220553.0,1.0
47,1.0,1.2865941078576976e+19,21326231.0,36503.0,2.0,1.0,432279.0,4487.0,248311.0,11246.0,208170.0,0.0
48,1.0,1.2943519435171692e+18,20068124.0,24162.0,3.0,1.0,3720737.0,45400.0,46.0,65.0,10885.0,0.0
49,1.0,1.5859647530187389e+19,4285938.0,23778.0,2.0,1.0,14186813.0,13263.0,19.0,83.0,3013197.0,0.0
50,1.0,5.345544339361683e+18,5858721.0,23796.0,1.0,1.0,20693358.0,14512.0,6.0,12.0,3006705.0,0.0
51,2.0,1.2711942665116875e+19,7926143.0,10672.0,2.0,1.0,2294545.0,30996.0,35818.0,37438.0,0.0,1.0
52,1.0,1.205787899908646e+19,20203709.0,27961.0,3.0,1.0,3503.0,2218.0,83.0,109.0,653410.0,1.0
53,1.0,1.1127366539228969e+19,4403625.0,27423.0,2.0,2.0,1514.0,3406.0,21633.0,23473.0,5125274.0,0.0
54,3.0,8.470768148487946e+18,20569955.0,30802.0,1.0,1.0,210853.0,92548.0,758921.0,7787.0,10117728.0,1.0
55,1.0,1.205787899908646e+19,20185602.0,27961.0,1.0,1.0,72366.0,2267.0,2382.0,24972.0,20820004.0,1.0
56,1.0,4.876702067173951e+17,20590436.0,24027.0,2.0,1.0,397723.0,50.0,377.0,622.0,7415679.0,1.0
57,2.0,4.969291200346086e+18,1693449.0,3383.0,3.0,3.0,141341.0,12055.0,196298.0,177670.0,43221.0,0.0
58,2.0,6.295803929889936e+18,21022223.0,13603.0,3.0,3.0,284806.0,208436.0,1374835.0,1170813.0,0.0,0.0
59,1.0,1.2083917346830344e+19,20563854.0,32051.0,1.0,1.0,26035085.0,121.0,30426.0,32334.0,206250.0,0.0
60,1.0,1.4340390157469403e+19,20644045.0,23808.0,1.0,1.0,3378.0,2.0,1.0,3.0,1196461.0,0.0
61,1.0,5.260594170071819e+16,3048011.0,23782.0,1.0,1.0,16708662.0,84.0,68.0,104.0,0.0,1.0
62,1.0,1.3516559178445044e+19,20393732.0,24355.0,2.0,1.0,12935.0,27076.0,124461.0,1682.0,474828.0,1.0
63,1.0,8.265651261671431e+18,21487830.0,16822.0,2.0,1.0,372.0,3111.0,600285.0,513786.0,15898728.0,1.0
64,1.0,9.390444283884915e+18,4298503.0,10655.0,1.0,1.0,1298796.0,48798.0,77167.0,70704.0,0.0,0.0
65,7.0,8.00767754067438e+18,20171832.0,23789.0,1.0,1.0,3187.0,7508.0,483.0,640.0,21547.0,1.0
66,2.0,1.5859647530187389e+19,4285938.0,23778.0,2.0,2.0,335054.0,1236.0,19.0,83.0,6543945.0,0.0
67,1.0,1.4340390157469403e+19,3074338.0,23777.0,1.0,1.0,18898741.0,10982.0,10210.0,10252.0,774730.0,1.0
68,1.0,6.285577986551244e+18,4252819.0,27054.0,3.0,1.0,1935600.0,3571.0,23081.0,31407.0,301714.0,1.0
